ticker,bench,corr,beta,sig,print_sigma_pos,print_sigma_neg,dev_best_ranges,bench_best_ranges,time_best_peak_ranges,time_best_norm_ranges
A,IWM,0.75,0.54,0.67,0.761194,-1.267164,0.4–0.7,0.1–0.4,,09:00
AA,IWM,0.88,1.82,1.76,0.498409,-1.121364,0.2–0.3;0.7;0.9,0.0–0.6,00:00;01:00–02:00;04:30;07:00;08:00–09:30,08:30
AAAU,QQQ,0.58,0.84,1.0,1.0604,-1.2428,0.2–0.7,0.0;0.2;0.5,02:00;03:00–03:30;04:30;05:30;08:00–09:30,09:00
AACT,NONE,0.84,1.04,1.28,,,,,,
AAL,IWM,0.84,1.04,1.28,0.535,-0.55,0.2–0.7;0.9,0.0–0.6;0.9;1.1,00:00–09:30,04:00;07:30;08:30
AALG,IWM,0.77,1.95,2.99,0.45903,-0.395819,2.7,,,09:00
AAMI,SPY,0.77,1.18,1.41,0.293901,-0.414184,0.6,0.0,,
AAOI,SPY,0.89,5.38,3.21,1.966854,-3.232025,2.7,0.0–0.2,00:00;02:30–03:00;04:30;05:30,09:00
AAON,IWM,0.85,1.36,2.53,0.589881,-0.222609,0.5;0.9,0.3,02:30,09:00
AAP,IWM,0.55,0.51,1.99,0.466935,-0.208894,0.2;0.4,0.1,,09:00
AAPB,SPY,0.57,1.0,1.47,0.414966,-0.265306,0.2;0.4–0.8,0.0–0.2,00:00–00:30;03:30–04:00;07:30–09:30,08:30–09:00
AAPD,QQQ,-0.47,-0.2,0.73,1.076712,-1.265753,0.2,0.0–0.3,02:30;04:30;06:00;07:00–09:30,09:00
AAPG,NONE,0.51,0.3,0.73,,,,,,
AAPL,SPY,0.51,0.3,0.73,1.020548,-0.289041,0.2–0.3,0.0–0.3,00:00;01:30;03:00;05:00;07:00–09:30,09:00
AAPU,SPY,0.62,1.04,1.46,0.620822,-0.184384,0.2–0.6;0.8–0.9,0.0–0.3;0.7,00:00–01:30;03:00;04:00;05:00;06:00–09:30,06:30;09:00
AAPW,QQQ,0.72,0.63,0.83,-0.225663,-0.582048,0.3,0.0,,09:00
AAPX,SPY,0.59,1.59,1.42,1.386197,-0.418028,0.4;0.8–0.9;1.4,0.0–0.2,00:00;02:30;04:30;06:30–07:00,09:00
AAPY,SPY,0.41,1.06,0.72,-0.236111,,,,,09:00
AARD,QQQ,0.35,0.87,1.66,0.028072,-0.623554,2.7,0.0–0.1;0.3,,09:00
AAT,IWM,0.59,0.36,0.46,0.886087,-1.161739,1.1,0.1,,09:00
AAUC,GDX,0.88,0.75,1.91,0.507853,-0.17801,0.2;0.5,3.0,,08:30
AAXJ,SPY,0.88,1.75,0.8,1.075,-1.859375,,0.0–0.1,,
AB,XLF,0.63,0.46,0.49,0.326531,-0.590612,0.5;0.8,0.0;0.2–0.3;0.5,,09:00
ABBV,SPY,-0.16,-0.18,0.75,0.458933,-0.5488,0.2,0.1,02:30,09:00
ABG,IWM,0.69,0.54,0.84,0.395714,-1.017143,0.5,0.2;0.9,,
ABM,IWM,0.57,0.4,0.53,1.192453,-0.290566,0.3,0.0;0.2,,09:00
ABNB,SPY,0.85,0.97,0.69,-0.349275,-0.866957,0.2–0.8;1.1;1.5,0.0–0.4,00:00–02:00;03:00–03:30;07:00–09:30,08:00
ABNY,SPY,0.68,1.06,0.73,0.872877,-1.382192,2.7,,,09:00
ABR,SPY,0.69,0.5,0.71,0.323944,-0.894366,0.2–0.4,0.1,00:00;06:30–07:00,07:00;08:30–09:00
ABT,IWM,-0.31,-0.07,0.57,0.676842,-0.548772,0.4,0.2–0.3,01:00,09:00
ABVX,QQQ,0.41,0.71,1.54,-0.076104,-0.355714,0.2–0.3;0.5–0.8,0.0–0.3,00:00;02:00;03:30–05:00;06:00–09:30,09:00
ACAD,IWM,0.64,0.4,1.79,0.217877,-0.255866,0.2,0.0,,08:30–09:00
ACES,IWM,0.93,1.68,1.3,1.828923,-0.084308,2.7,0.3,,09:00
ACFN,QQQ,0.02,-0.32,3.92,0.302806,-0.313163,0.3,,,09:00
ACGL,XLF,0.42,0.85,0.58,0.337931,0.427586,0.5,0.0–0.3,,
ACHC,IWM,0.62,0.81,1.56,0.440769,-0.283526,0.6–0.7,0.1–0.2,03:00–09:30,09:00
ACHR,IWM,0.91,3.08,2.74,2.549489,-1.390511,0.2–0.8;1.2;1.9,0.0–0.5,00:00–01:00;02:00;03:30–09:30,06:00;07:00;09:00
ACI,IWM,-0.39,-0.15,1.19,0.339076,-0.721008,0.2–0.3,0.3,,07:00
ACIC,XLF,0.67,0.33,0.37,1.189189,-0.502973,0.7,0.1,,
ACIW,SPY,0.86,0.96,0.59,0.623729,-0.899661,1.7,0.0–0.1,,09:00
ACKY,SPY,0.78,1.38,0.75,0.052,-1.632,0.7,0.0;0.2,,09:00
ACLS,SOXL,0.88,0.3,1.8,0.791111,-1.838333,1.1,3.0,02:30;03:30;04:30–09:30,07:00
ACLX,SPY,0.68,0.52,0.67,0.301493,-0.606567,0.3;0.5–0.6,0.2,,09:00
ACM,IWM,0.94,0.79,0.57,0.418421,-0.215614,0.4;0.7;0.9,0.0–0.2;0.4,03:00,09:00
ACMR,QQQ,0.85,2.35,3.68,1.172147,-0.625136,0.7–0.8;1.3,0.0–0.1,01:00–01:30;03:00;04:00;06:30;07:30–09:30,09:00
ACN,IWM,0.8,0.42,0.45,0.752889,-0.116444,0.3;0.7;0.9,0.0–0.2,05:00–09:30,08:00;09:00
ACT,XLF,0.77,0.57,0.5,0.3126,-0.46,0.4,0.1–0.2,,
ACVA,IWM,0.75,1.1,3.7,0.013784,-0.345946,0.2–0.3,0.3,,09:00
ACWI,SPY,0.97,1.05,0.44,-0.273864,-0.419318,0.2,0.1;0.3–0.4,05:00–09:30,09:00
ACWX,SPY,0.91,1.13,0.51,-0.261176,-0.97,0.5–0.6,0.3,01:30,09:00
AD,NONE,0.79,0.94,0.79,,,,,,
ADBE,SPY,0.79,0.94,0.79,0.454684,-0.96,0.2–0.7;1.2,0.0;0.2–0.5;0.7–0.8;1.1,00:00;01:00–03:30;06:30;07:30–09:30,02:00
ADBG,SPY,0.8,1.56,1.52,0.880526,-1.191053,0.2–0.5;1.0,0.0–0.3,03:00–05:00;07:00;08:00–09:30,07:00
ADC,IWM,-0.19,0.0,0.46,1.043478,-0.934783,1.3,0.2,02:00–09:30,09:00
ADEA,IWM,0.91,0.97,2.66,-0.122895,-0.583383,0.2,,,09:00
ADI,IWM,0.8,0.89,0.99,0.729697,-1.371515,0.2;0.4;0.6–0.9,0.0;0.2–0.5,00:00;03:30–04:00,03:30
ADM,IWM,0.22,0.11,1.03,0.533883,-0.560485,0.2–0.3,0.2,00:30;03:00,00:30;09:00
ADMA,IWM,0.72,0.65,0.7,0.112857,-0.901429,0.6;1.2;1.6,0.0–0.4,00:30;02:30;04:00–04:30,09:00
ADNT,IWM,0.79,1.07,1.59,0.162201,-0.745031,0.2;0.5,0.1–0.2,,09:00
ADP,IWM,0.18,0.07,0.56,1.331964,-0.308571,0.6,0.3,04:00–09:30,09:00
ADPT,IWM,0.89,1.57,1.34,0.025522,-1.032388,2.7,0.0–0.5,,09:00
ADSE,IWM,0.26,0.43,2.03,0.01803,-0.759901,0.3,0.2,,09:00
ADSK,SPY,0.66,0.96,1.35,0.019259,-0.536593,0.2–0.4,0.0–0.2,00:00;03:00,03:00;09:00
ADUR,SPY,0.51,2.34,2.03,0.817734,-0.359015,2.7,0.1;0.6,02:30,09:00
ADUS,IWM,0.52,0.2,0.82,0.814634,-1.156098,0.4,0.1;0.6,,
ADX,SPY,0.91,0.98,0.45,0.591556,-0.123111,2.7,0.3–0.4,03:00;05:00–09:30,08:30–09:00
AEBI,IWM,0.61,0.52,1.64,0.235854,-0.387561,0.3;0.8,0.1,,09:00
AEE,IWM,0.01,0.05,0.38,1.303947,-1.072368,0.7,0.2–0.3,,09:00
AEHR,SPY,0.92,4.18,3.98,2.657337,-0.892261,2.7,0.1–0.4,00:30;01:30;05:00;07:00–08:00,09:00
AEIS,QQQ,0.93,1.91,2.19,0.548082,-0.844018,0.8,0.2–0.3,02:30–09:30,09:00
